id,name,description,image_url,external_url
1,Forrest Dwellers: Volume 1 #1,Generative Lifeforms,https://bitgraphix.mypinata.cloud/ipfs/Qma6WTi9s4jZgNqA4ioz7rQLXmJApHy2pR7femrh79AgHk/1.png,https://www.zackjudson.ai/
2,Forrest Dwellers: Volume 1 #2,Generative Lifeforms,https://bitgraphix.mypinata.cloud/ipfs/Qma6WTi9s4jZgNqA4ioz7rQLXmJApHy2pR7femrh79AgHk/2.png,https://www.zackjudson.ai/
3,Forrest Dwellers: Volume 1 #3,Generative Lifeforms,https://bitgraphix.mypinata.cloud/ipfs/Qma6WTi9s4jZgNqA4ioz7rQLXmJApHy2pR7femrh79AgHk/3.png,https://www.zackjudson.ai/
4,Forrest Dwellers: Volume 1 #4,Generative Lifeforms,https://bitgraphix.mypinata.cloud/ipfs/Qma6WTi9s4jZgNqA4ioz7rQLXmJApHy2pR7femrh79AgHk/4.png,https://www.zackjudson.ai/
5,Forrest Dwellers: Volume 1 #5,Generative Lifeforms,https://bitgraphix.mypinata.cloud/ipfs/Qma6WTi9s4jZgNqA4ioz7rQLXmJApHy2pR7femrh79AgHk/5.png,https://www.zackjudson.ai/
6,Forrest Dwellers: Volume 1 #6,Generative Lifeforms,https://bitgraphix.mypinata.cloud/ipfs/Qma6WTi9s4jZgNqA4ioz7rQLXmJApHy2pR7femrh79AgHk/6.png,https://www.zackjudson.ai/
7,Forrest Dwellers: Volume 1 #7,Generative Lifeforms,https://bitgraphix.mypinata.cloud/ipfs/Qma6WTi9s4jZgNqA4ioz7rQLXmJApHy2pR7femrh79AgHk/7.png,https://www.zackjudson.ai/
8,Forrest Dwellers: Volume 1 #8,Generative Lifeforms,https://bitgraphix.mypinata.cloud/ipfs/Qma6WTi9s4jZgNqA4ioz7rQLXmJApHy2pR7femrh79AgHk/8.png,https://www.zackjudson.ai/
9,Forrest Dwellers: Volume 1 #9,Generative Lifeforms,https://bitgraphix.mypinata.cloud/ipfs/Qma6WTi9s4jZgNqA4ioz7rQLXmJApHy2pR7femrh79AgHk/9.png,https://www.zackjudson.ai/
10,Forrest Dwellers: Volume 1 #10,Generative Lifeforms,https://bitgraphix.mypinata.cloud/ipfs/Qma6WTi9s4jZgNqA4ioz7rQLXmJApHy2pR7femrh79AgHk/10.png,https://www.zackjudson.ai/
11,Forrest Dwellers: Volume 1 #11,Generative Lifeforms,https://bitgraphix.mypinata.cloud/ipfs/Qma6WTi9s4jZgNqA4ioz7rQLXmJApHy2pR7femrh79AgHk/11.png,https://www.zackjudson.ai/
12,Forrest Dwellers: Volume 1 #12,Generative Lifeforms,https://bitgraphix.mypinata.cloud/ipfs/Qma6WTi9s4jZgNqA4ioz7rQLXmJApHy2pR7femrh79AgHk/12.png,https://www.zackjudson.ai/
